epoch,d_loss,g_loss,e_loss,recon_loss,kl_loss
310,1.1522,1.0185,0.1971,0.0029,5.1258
311,1.4377,0.9293,0.1887,0.0028,5.0531
312,1.2850,0.9410,0.1802,0.0026,4.9069
313,1.3641,0.9241,0.1784,0.0026,4.9213
314,1.4498,0.8191,0.1793,0.0026,4.8994
315,1.3753,0.9209,0.1787,0.0026,4.8966
316,1.4861,0.8267,0.1779,0.0026,4.8174
317,1.2811,0.9552,0.1752,0.0025,4.8066
318,1.2887,0.9596,0.1766,0.0026,4.8587
319,1.3767,0.8969,0.1846,0.0027,4.8951
320,1.3830,0.8822,0.1875,0.0028,4.8477
321,1.2676,0.9529,0.1725,0.0025,4.8109
322,1.3025,0.8997,0.1656,0.0024,4.7443
323,1.2416,0.9544,0.1658,0.0024,4.7269
324,1.3055,0.8909,0.1756,0.0026,4.7947
325,1.3856,0.9032,0.1800,0.0026,4.8468
326,1.2938,0.9716,0.1835,0.0027,4.8539
327,1.1945,1.0588,0.1886,0.0028,4.9031
328,1.1997,1.0262,0.2101,0.0032,5.0722
329,1.1570,1.1124,0.1991,0.0030,5.0119
330,1.2134,1.0764,0.1991,0.0029,5.2078
331,0.8493,1.4513,43658.5418,0.0055,4365826.6862
332,1.1665,2.3572,1.6053,0.0295,13.0130
333,1.2044,1.8841,0.9564,0.0182,4.8652
334,1.1407,1.5824,0.6541,0.0122,4.3996
335,0.9944,1.5186,0.5297,0.0098,4.1336
336,1.3897,1.2488,0.4686,0.0086,3.9675
337,1.0837,1.4075,0.3614,0.0065,3.8740
338,1.1132,1.2033,0.3662,0.0066,3.7205
339,1.3396,1.2193,0.3227,0.0057,3.6068
340,1.4001,1.0183,0.3099,0.0055,3.6212
341,1.2641,1.0500,0.2708,0.0047,3.5421
342,1.2266,0.9747,0.2449,0.0042,3.4548
343,1.2665,1.0796,0.2846,0.0050,3.5399
344,1.2560,1.0781,0.2467,0.0042,3.5679
345,1.2651,1.0835,0.2311,0.0039,3.4775
346,1.0928,1.2104,0.2610,0.0045,3.4818
347,1.1664,1.1719,0.2459,0.0042,3.4003
348,1.0180,1.2042,0.2253,0.0038,3.3578
349,1.0240,1.2899,0.2961,0.0052,3.4929
350,1.1402,1.2075,0.2594,0.0045,3.4026
351,1.2078,1.1464,0.2530,0.0044,3.4146
352,1.1549,1.2178,0.2440,0.0042,3.3742
353,0.8620,1.4569,0.2195,0.0037,3.3198
354,1.2187,1.0212,0.2235,0.0038,3.3374
355,1.0845,1.1230,0.2195,0.0037,3.3106
356,1.1322,1.3149,0.2322,0.0040,3.3209
357,0.6905,1.5558,0.2373,0.0041,3.3486
358,1.2561,1.0766,0.2527,0.0044,3.3760
359,1.1852,1.0991,0.2418,0.0042,3.3526
360,0.9765,1.3111,0.2207,0.0037,3.3606
361,1.2228,1.1698,0.3070,0.0054,3.6633
362,1.2793,1.0589,0.2367,0.0040,3.5407
363,1.0995,1.1551,0.2337,0.0040,3.4010
364,1.3159,1.0759,0.2223,0.0038,3.4042
365,0.9016,1.3363,0.2190,0.0037,3.3482
366,0.9599,1.3239,0.2350,0.0040,3.4102
367,1.3229,1.0743,0.2212,0.0037,3.3952
368,1.2675,1.0434,0.2179,0.0037,3.3979
369,1.1956,1.0541,0.2096,0.0035,3.3598
370,1.3377,0.9045,0.1921,0.0032,3.3020
371,1.2311,1.0775,0.2010,0.0033,3.3555
372,1.2937,0.9795,0.2092,0.0035,3.3617
373,1.3810,0.9572,0.2077,0.0035,3.4834
374,1.3532,0.9947,0.1988,0.0033,3.3999
375,1.0975,1.0751,0.2080,0.0035,3.4189
376,1.1851,1.0454,0.1994,0.0033,3.4367
377,1.2488,1.0281,0.2016,0.0033,3.4249
378,1.4330,0.8704,0.2124,0.0035,3.5118
379,1.5879,0.9025,0.2090,0.0035,3.5174
380,1.3237,1.0176,0.1982,0.0033,3.4605
381,1.0923,1.0936,0.2066,0.0034,3.4746
382,1.3129,0.9455,0.1974,0.0032,3.5632
